一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
噴漆 用硝酸纖維素、樹脂、顏料、溶劑等製成的人造漆，耐水、耐機油、外乾、色澤好，可用來塗飾汽車、家具、飛機、皮革等，利用壓縮空氣的原理，將塗料噴在鐵器或木器上，，噴漆
噸 為英語 ton的音譯，公制一噸等於一千公斤；英制一噸等於二千二百四十磅；美制一噸等於九百零七點一八五八公斤，(2) 計算船艙容積的單位，為英語 ton的音譯，一噸等於一百立方英尺，(3) 計算船載貨的單位，為英語ton的音譯，一噸等於四十立方英尺，，噸
嚇 用言語怒叱、武力逼迫，使人害怕，表示驚訝、讚嘆的語氣，表示不滿或疑問的語氣，害怕、使人害怕，，嚇
嚇一跳 形容突然受到驚嚇的樣子，，嚇一跳
嚐 以口辨別滋味，，嚐
嚮導 帶路，帶路的人，，嚮導
嚮往 思慕而神往，」也作「向往」，傾心,神馳，，嚮往
嚴 緊急、急迫，緊密，嚴厲，殘酷、苛刻，肅穆、端莊，厲害的、猛烈的，整肅的威儀，對父親的敬稱，警戒、戒備時所行的非常措施，姓，如東漢時有嚴光，畏懼，尊崇、尊敬，，嚴
嚴厲 嚴格猛烈、不寬容，嚴格,嚴酷,嚴峻，，嚴厲
嚴密 緊密，不疏漏，周密,稹密，嚴肅細密，祕密、機密，，嚴密
嚴峻 嚴厲，嚴厲,嚴格,嚴苛,嚴刻,嚴酷，，嚴峻
嚴格 嚴謹遵守一定的標準，嚴厲,嚴峻，，嚴格
嚴禁 嚴格禁止，，嚴禁
嚴肅 態度嚴正莊重，正經,莊敬,莊重,肅穆　2.嚴厲,嚴格，嚴格、認真，嚴謹有法度，，嚴肅
嚴重 嚴謹持重，尊重、敬重，情勢緊急危險，，嚴重
嚷 喊叫，喧鬧，北方方言，指斥責、責備，參見「嚷嚷」條，，嚷
囉嗦 多言不止，」也作「囉囌」、「囉唆」，騷擾、麻煩，」也作「囉囌」、「囉唆」，，囉嗦
囊括 包羅、席捲一切，包羅﹑包括﹑席捲，，囊括
囑咐 吩咐、囑託，」也作「囑付」，吩咐,叮嚀,叮囑,交代，，囑咐
四 介於三和五之間的自然數，大寫作「肆」，阿拉伯數字作 「4」，古代樂譜上用來表示音階的符號，姓，如宋代有四象，第四的，，四
四周 周圍四面，周圍，，四周
四季 春、夏、秋、冬四時的總稱，，四季
四方 東、南、西、北，泛指四處各地，四境的諸侯國，正方或立方形的物體，，四方
四處 各處，到處，，四處
回 掉轉，返、歸，改變，答覆，還覆給對方相同或某種動作，謝絕、辭去，避開，中國少數民族之一，主要分布在大陸地區新疆、遼寧、青海、甘肅、寧夏、河北等地區，以信奉回教為主，相當於「次」，」(2) 計算時間的單位，一陣子稱為「一回」，」(3) 計算長篇小說段落的單位，一章稱為「一回」，」(4) 計算事情的單位，相當於「件」，」姓，如明代有回滿注，，回
回信 回覆的信函或音訊，復書,覆信,答信，回覆音訊，，回信
回升 下降後又往上升，，回升
回去 回到原來的地方，俗稱死亡為「回去」，，回去
回合 量詞，計算交手次數的單位，環繞，，回合
回想 想過去的事情，回憶,記憶,追念,追思,追憶，，回想
回憶 對往事的追憶，回顧,回想,記憶，，回憶
回收 收回，，回收
回教 西元七世紀時，阿拉伯人穆罕默德所創立的宗教，信奉阿拉為唯一真神，經典為《可蘭經》，一百一十四章，信徒一日五次面向麥加祈禱，一生必往朝麥加一次，教徒大都分布於中東、北非、印尼、巴基斯坦及我國西北等地，唐時由回紇人傳入中國，故稱為「回教」，，回教
回答 答覆，答復,答覆，回報、回敬，，回答
回絕 拒絕，拒絕，，回絕
回電 回覆的電報、電話，用電話或電報回覆對方，，回電
回響 回聲，」也作「迴響」，反響,回聲，因刺激而引起的行動，」也作「迴響」，，回響
回頭 向後轉頭，回顧,回首,轉頭　2.回來，稍待、等一會兒，有所覺悟而改邪歸正，回絕、拒絕，回信，烙製有餡的麵食，做時扭轉兩端而後相接，故稱為「回頭」，，回頭
因果 原因和結果，指事情演化的前後關連，佛教基本理論之一，謂因和果，佛教認為一切的生命形態和生活遭遇，都是過去意志行為的果，而過去意志行為則是造成果的因，因和果之間是相對的關係，緣由，，因果
因此 因而、所以，所以,因而,於是，，因此
因為 連詞，用來提起所述的原因，，因為
因素 構成事物發展的原因、要素，要素，，因素
因而 連接詞，表示下文是上文的結果，所以,因此,於是，隨便、馬虎，，因而
困 艱難痛苦，窮苦，疲倦、疲乏，陷在艱難困苦裡，或受環境、條件等因素限制住，包圍、圍住，《易經》卦名，六十四卦之一，坎（☵）下兌（☱）上，，困
困境 困難的處境，逆境,窘境，，困境
困擾 為難、煩擾，麻煩、難題，，困擾
困苦 貧困、艱苦，貧困,疾苦,艱難,艱苦，，困苦
困難 窮困，事情複雜或阻礙多，不容易完成，，困難
固執 堅守不違背，堅持己見，不肯變通，拘泥﹑執拗﹑頑固﹑頑強，，固執
固定 穩定，不移動的意思，不變﹑穩定﹑穩固，，固定
固有 原有、本來就有的，，固有
固然 本來就如此，當然，雖然，本有的形態，，固然
固體 有一定形狀和體積的物體，分子間的內聚力強，即使受壓力，形狀和體積都不易改變，如金、銀、石等均屬之，，固體
圈 外圓中空的東西或形狀，指特定的行業範疇，量詞，計算環繞次數的單位，把四周包圍、環繞起來，畫圈作記號，收管、關住，參見「圈兒」、「圈子」等條，飼養獸畜的地方，姓，如漢代有圈稱，，圈
圈子 外圓而中空的東西或形狀，範圍，四周有東西圍擋起來的地方，，圈子
國 古代稱諸侯或君王的封地為「國」，有土地、人民、主權的團體，城市，地方，姓，如春秋時齊國有國佐，代表國家的，本國的，，國
國中 城中，國民中學的縮稱，參見「國民中學」條，，國中
國內 本國，，國內
國君 一國的君主，，國君
國境 一國主權行使所及的土地範圍，，國境
國外 本國以外的地區，，國外
國家 古時稱諸侯的封地為「國」，大夫的食邑為「家」，現指具備領土、人民、主權和政府四個要素的政治團體，國度，，國家
國小 國民小學的縮稱，參見「國民小學」條，，國小
國旗 由國家規定，代表一國的旗幟，，國旗
國會 立憲國家代表民意的最高立法機關，通稱為「國會」，如美國的參議院、眾議院，，國會
國民 泛指全國的人民，公民,人民，凡取得一國國籍的人民，就是該國的國民，，國民
國營 由國家直接經營，，國營
國王 君主國家的領袖，我國古代最高的封爵，自漢朝至明朝皆有，受封的外藩，如歷史上的朝鮮國王、越南國王，，國王
國產 本國出產的，，國產
國立 國家所設立的，，國立
國籍 廣義指權利之主體或客體隸屬於某一國家的關係而言，如自然人、法人、船舶、航空器等，均有其國籍，狹義僅指自然人，個人隸屬於某一國家的關係而言，近世各國，均有其國籍法，必須取得某國的國籍，方為某國的國民，國家的典籍，，國籍
國語 全國統一使用的標準語，有別於方言，本國特有的語言，如清代稱滿洲語為「國語」，書名，春秋時左丘明撰，二十一卷，分別記載周、魯、齊、晉、鄭、楚、吳、越等八  國的事蹟，自周穆王起，至魯悼公止，共歷五百餘年，為一分國紀事之史，，國語
國防 國家為防禦外患，並保衛國土完整、國民安全，所設置的一切軍事設施，，國防
國際 國與國之間，如:「國際事務，」，國際
圍 從四周攔擋、包攏，環繞，防守，四周、周邊的大小長度，遮蔽用的布類，」(2) 計算兩隻胳膊合抱長度的單位，其大蔽數千牛，絜之百圍，」戰事的包擋陣勢，，圍
圍巾 圍在脖子上的長條形領巾，具有保暖、禦寒、裝飾的功用，領巾，，圍巾
圍牆 上面無蓋，不蔽風雨，只分界線的牆，，圍牆
圍繞 環繞，環繞著一事件或問題，，圍繞
園林 種植花木以供遊賞的地方，，園林
圓 不露稜角的、環形的，相對於「方」，完整、周全、豐滿，婉轉、滑潤，從中心到周圍每一點的距離都相等的形體稱為「圓」，貨幣的名稱，量詞，計算錢幣的單位，一圓等於十角，完成、使完整，，圓
圓形 以定點為圓心，任意長為半徑畫成的圖形，，圓形
圓滿 完滿而無所欠缺，美滿,完滿,完竣,完善，，圓滿
圖 由各種線條、形狀、色彩等描繪成的形象或畫面，疆域，欲念，繪畫、描繪，策劃、考慮，謀取、謀求，，圖
圖像 圖繪形象，」也作「圖象」，人物畫像，」也作「圖象」，，圖像
圖書 書籍，典籍,文籍，地圖戶籍，河圖洛書的簡稱，參見「河圖洛書」條，圖讖符命一類的書籍，參見「圖讖」條，圖章，，圖書
圖書館 將各種圖書、資料加以蒐集、組織、保存，供群眾閱覽參考的機構，藏書樓，，圖書館
圖片 清代由八旗佐領所出、蓋有圖記的保證文書，猶漢族官員的印結，圖畫、照片、拓片等的統稱，，圖片
圖畫 畫繪形象，謀策，以線條、色彩繪成的畫，，圖畫
圖章 印章，，圖章
圖表 表示統計數字的圖示表格，標明各種情況和注明各種數字的圖和表的總稱，，圖表
圖騰 原始社會中，假借某種自然物為符號，並加以尊崇膜拜，作為一群體或一氏族的標誌，這種自然物的符號或形象便稱為「圖騰」，大多以動物或植物為標記，，圖騰
團 圓球形物體，有組織的一群人，可以一起運作或活動，聚合物，軍隊編組建制的單位，歷代不一，陸軍介於師、旅之間，三營為一團，現已取消不用，量詞，計算團狀物的單位，搓弄、揉合，聚集、結合，估量、猜度，，團
團員 團體中的成員，，團員
團圓 圓的樣子，』」也作「團團」、「團欒」，親屬團聚，團聚，，團圓
團結 唐代的地方團練組織，結合、組織，結合，，團結
團聚 眾人聚集，團圓歡聚，團圓，，團聚
團體 具有共同目標的人群所結合的集團，有合一宗族或合一地方、一事業而成者，集體,整體，，團體
土 地面砂泥等的混合物，地域、疆域，鄉里，五行之一，參見「五行」條，二一四部首之一，本地的、地方性的、區域的，古老傳統的，不合潮流的，，土
土地 土壤，封疆，社神，有泥土的地面皆稱為「土地」，，土地
土壤 土地，覆蓋在地殼最外圍的一層土質，由土粒與腐植質混合而成，其中含有水分、空氣、礦物質和微生物，可供植物生長與動物棲息，，土壤
在 存、存活，居於、處於，決定、依靠，觀察，表示動作正在進行，表示時間，表示處所、位置，表示範疇，居所、處所，姓，如晉代有在育，，在
在世 生存於世上，活著，，在世
在乎 在意、注意、關心，，在乎
在場 事情發生時身臨目睹，，在場
在座 會席時在座位上，泛指參與、出席，，在座
在意 留意、注意，介意，介意，，在意
在於 確指某事之詞，，在於
地 人類萬物棲息生長的場所，有時直接指地球，《易經．繫辭下》:「仰則觀象於天，俯則觀法於地，」陸地，田地、土地，場所，區域，地位、位置，心意、意志的領域，本質、質地、底子，路程，用於副詞語尾，置於「立」、「坐」、「臥」等動詞之後，相當於「著」，結構助詞，用在副詞之後，，地
地下 地面之下，祕密、不公開活動或不合法的，地面上，，地下
地下鐵 建築在地底下的鐵道，專供火車或電車行駛，西元一八六三年倫敦首先採用，其後世界各大都市群起倣效，而以紐約的地下鐵道網最大，，地下鐵
地主 住在本地的人，以土地租與他人耕作或使用的土地所有權人，田主，，地主
地位 人或團體在社會關係中所處的位置，名望,職位,身分，地步、處境，，地位
地勢 地面高低起伏的形勢，形勢，地位權勢，，地勢
地區 某區域範圍，地域,區域，，地區
地圖 說明地表自然景觀和人文現象分布情況的圖形，圖上標有符號、文字等，或著以顏色，，地圖
地址 居住或通信的地點，地點﹑住址，，地址
地域 土地的界域，地區﹑區域，，地域
地帶 區域、範圍，，地帶
地形 地表的起伏、形狀、輪廓等特徵，，地形
